window_id,window_text,skipped_approvals_delta,emergency_without_CAB_count,after_hours_critical_delta,drift_score_label,root_causes_label,recommended_actions_label
WIN0024,TL approver skipped in 11.73% of changes | After-hours approvals for Critical CIs increased by 4.48%,11.73,0,4.48,0.5965,approval_bypass|after_hours_approvals,Enforce second approver for critical CIs|Add approval gating rules|Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0025,TL approver skipped in 0.93% of changes | 1 emergency changes with no CAB note,0.93,1,0.12,0.1071,emergency_flag_misuse,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0026,TL approver skipped in 3.88% of changes | After-hours approvals for Critical CIs increased by 1.29%,3.88,0,1.29,0.209,,
WIN0027,TL approver skipped in 2.9% of changes | 1 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 10.39%,2.9,1,10.39,0.634,emergency_flag_misuse|after_hours_approvals,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag|Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0028,TL approver skipped in 3.93% of changes | 1 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 2.42%,3.93,1,2.42,0.3204,emergency_flag_misuse,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0029,TL approver skipped in 6.82% of changes | 1 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 1.44%,6.82,1,1.44,0.3608,approval_bypass|emergency_flag_misuse,Enforce second approver for critical CIs|Add approval gating rules|Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0030,TL approver skipped in 5.73% of changes | 1 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 2.78%,5.73,1,2.78,0.4142,approval_bypass|emergency_flag_misuse,Enforce second approver for critical CIs|Add approval gating rules|Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0031,TL approver skipped in 7.26% of changes | 2 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 0.56%,7.26,2,0.56,0.48,approval_bypass|emergency_flag_misuse,Enforce second approver for critical CIs|Add approval gating rules|Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0032,TL approver skipped in 1.05% of changes | 4 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 1.26%,1.05,4,1.26,0.394,emergency_flag_misuse,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0033,TL approver skipped in 4.69% of changes | 4 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 1.09%,4.69,4,1.09,0.56,emergency_flag_misuse,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0034,TL approver skipped in 7.08% of changes | After-hours approvals for Critical CIs increased by 1.76%,7.08,0,1.76,0.3555,approval_bypass,Enforce second approver for critical CIs|Add approval gating rules
WIN0035,TL approver skipped in 3.57% of changes | After-hours approvals for Critical CIs increased by 2.82%,3.57,0,2.82,0.301,,
WIN0036,TL approver skipped in 5.73% of changes | After-hours approvals for Critical CIs increased by 0.62%,5.73,0,0.62,0.2579,approval_bypass,Enforce second approver for critical CIs|Add approval gating rules
WIN0037,TL approver skipped in 4.7% of changes | After-hours approvals for Critical CIs increased by 3.81%,4.7,0,3.81,0.3941,after_hours_approvals,Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0038,TL approver skipped in 2.74% of changes | After-hours approvals for Critical CIs increased by 3.61%,2.74,0,3.61,0.2521,after_hours_approvals,Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0039,TL approver skipped in 2.77% of changes | 1 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 1.79%,2.77,1,1.79,0.3159,emergency_flag_misuse,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0040,TL approver skipped in 6.82% of changes | After-hours approvals for Critical CIs increased by 2.17%,6.82,0,2.17,0.3906,approval_bypass,Enforce second approver for critical CIs|Add approval gating rules
WIN0041,TL approver skipped in 1.38% of changes | 1 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 1.7%,1.38,1,1.7,0.2532,emergency_flag_misuse,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0042,TL approver skipped in 2.56% of changes | 1 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 11.79%,2.56,1,11.79,0.6195,emergency_flag_misuse|after_hours_approvals,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag|Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0043,7 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 5.25%,0.02,7,5.25,0.7573,emergency_flag_misuse|after_hours_approvals,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag|Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0044,TL approver skipped in 4.42% of changes | After-hours approvals for Critical CIs increased by 8.22%,4.42,0,8.22,0.4784,after_hours_approvals,Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0045,TL approver skipped in 1.74% of changes | 2 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 1.52%,1.74,2,1.52,0.2893,emergency_flag_misuse,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0046,TL approver skipped in 9.93% of changes | 1 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 2.27%,9.93,1,2.27,0.5146,approval_bypass|emergency_flag_misuse,Enforce second approver for critical CIs|Add approval gating rules|Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0047,TL approver skipped in 5.47% of changes,5.47,0,0.0,0.1583,approval_bypass,Enforce second approver for critical CIs|Add approval gating rules
WIN0048,TL approver skipped in 2.63% of changes | After-hours approvals for Critical CIs increased by 2.82%,2.63,0,2.82,0.2207,,
WIN0049,TL approver skipped in 8.63% of changes | 4 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 2.99%,8.63,4,2.99,0.7655,approval_bypass|emergency_flag_misuse,Enforce second approver for critical CIs|Add approval gating rules|Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0050,After-hours approvals for Critical CIs increased by 1.49%,0.29,0,1.49,0.0905,,
WIN0051,TL approver skipped in 10.43% of changes | 6 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 3.43%,10.43,6,3.43,1.0,approval_bypass|emergency_flag_misuse|after_hours_approvals,Enforce second approver for critical CIs|Add approval gating rules|Mandatory CAB notification when emergency flag=true|Require justification for emergency flag|Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0052,TL approver skipped in 8.83% of changes | After-hours approvals for Critical CIs increased by 4.04%,8.83,0,4.04,0.4492,approval_bypass|after_hours_approvals,Enforce second approver for critical CIs|Add approval gating rules|Block after-hours approvals without on-call tag|Add after-hours approval review
WIN0053,TL approver skipped in 2.32% of changes | 2 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 2.33%,2.32,2,2.33,0.355,emergency_flag_misuse,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0054,TL approver skipped in 2.74% of changes | 1 emergency changes with no CAB note,2.74,1,0.12,0.2126,emergency_flag_misuse,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0055,TL approver skipped in 7.26% of changes | 2 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 2.26%,7.26,2,2.26,0.5082,approval_bypass|emergency_flag_misuse,Enforce second approver for critical CIs|Add approval gating rules|Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0056,TL approver skipped in 16.6% of changes | 1 emergency changes with no CAB note,16.6,1,0.37,0.6938,approval_bypass|emergency_flag_misuse,Enforce second approver for critical CIs|Add approval gating rules|Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0057,TL approver skipped in 4.1% of changes | 1 emergency changes with no CAB note | After-hours approvals for Critical CIs increased by 0.69%,4.1,1,0.69,0.2908,emergency_flag_misuse,Mandatory CAB notification when emergency flag=true|Require justification for emergency flag
WIN0058,TL approver skipped in 3.1% of changes | After-hours approvals for Critical CIs increased by 1.55%,3.1,0,1.55,0.2293,,
WIN0059,TL approver skipped in 1.47% of changes,1.47,0,0.21,0.0256,,
WIN0060,TL approver skipped in 11.69% of changes | After-hours approvals for Critical CIs increased by 1.57%,11.69,0,1.57,0.5369,approval_bypass,Enforce second approver for critical CIs|Add approval gating rules
